Frequency,sigma_c,V1,V2,sigma_f,,,,,,,,
0.087,0.007333919,200,574.522497,0.001609931,,,,,,,,
0.089,0.007436099,200,572.1523544,0.001584808,,,,,,,,
0.091,0.007536007,200,569.834886,0.001560245,,,,,,,,
0.093,0.007633744,200,567.5678014,0.001536215,,,,,,,,
0.095,0.007729401,200,565.3489563,0.001512696,,,,,,,,
0.098,0.007869175,200,562.1067744,0.001478331,,,,,,,,
0.1,0.00796,200,560,0.001456,,,,,,,,
0.102,0.008498232,200,557.6334932,0.001437541,,,,,,,,
0.105,0.009286108,200,554.1693468,0.001410521,,,,,,,,
0.107,0.009798949,200,551.9144745,0.001392933,,,,,,,,
0.11,0.010550513,200,548.6099869,0.001367158,,,,,,,,
0.112,0.011040252,200,546.4566911,0.001350362,,,,,,,,
0.115,0.011758703,200,543.297793,0.001325723,,,,,,,,
0.117,0.012227333,200,541.2373163,0.001309651,,,,,,,,
0.12,0.012915466,200,538.2117196,0.001286052,,,,,,,,
0.123,0.013586606,200,535.2608367,0.001263035,,,,,,,,
0.126,0.014198723,200,533.3333015,0.001238869,,,,,,,,
0.129,0.014711738,200,533.3333058,0.001211904,,,,,,,,
0.132,0.015212959,200,533.33331,0.001185559,,,,,,,,
0.135,0.015702915,200,533.3333141,0.001159806,,,,,,,,
0.138,0.016182103,200,533.3333181,0.001134619,,,,,,,,
0.141,0.016650984,200,533.333322,0.001109974,,,,,,,,
0.145,0.017260874,200,533.3333271,0.001077918,,,,,,,,
0.148,0.017707349,200,533.3333308,0.00105445,,,,,,,,
0.151,0.018086208,200,533.3333333,0.001037223,,,,,,,,
0.155,0.018425426,200,533.3333333,0.001029963,,,,,,,,
0.158,0.018674142,200,533.3333333,0.001024639,,,,,,,,
0.162,0.018998517,200,533.3333333,0.001017697,,,,,,,,
0.166,0.01931498,200,533.3333333,0.001010923,,,,,,,,
0.17,0.019623906,200,533.3333333,0.001004312,,,,,,,,
0.174,0.019925648,200,533.3333333,0.000997853,,,,,,,,
0.178,0.020254585,200,533.3333333,0.00098014,,,,,,,,
0.182,0.020587438,200,533.3333333,0.000959061,,,,,,,,
0.186,0.020913054,200,533.3333333,0.000938441,,,,,,,,
0.191,0.021310365,200,533.3333333,0.00091328,,,,,,,,
0.195,0.021620796,200,533.3333333,0.000893622,,,,,,,,
0.2,0.022,200,533.3333333,0.000869608,,,,,,,,
0.204,0.022805797,200.010222,533.3333089,0.000851599,,,,,,,,
0.209,0.023791109,200.0227213,533.333279,0.000829579,,,,,,,,
0.214,0.024753126,200.034925,533.3332498,0.000808079,,,,,,,,
0.219,0.025692923,200.0468469,533.3332213,0.000787075,,,,,,,,
0.224,0.026611504,200.0584996,533.3331934,0.000766546,,,,,,,,
0.229,0.027509806,200.0698951,533.3331661,0.00074647,,,,,,,,
0.234,0.028388704,200.0810444,533.3331395,0.000726827,,,,,,,,
0.24,0.029418921,200.0941133,533.3331082,0.000703803,,,,,,,,
0.245,0.030257949,200.1047569,533.3330827,0.000685052,,,,,,,,
0.251,0.031188991,200.114522,533.7170107,0.000671478,,,,,,,,
0.257,0.031833803,200.1105964,535.9890864,0.000699879,,,,,,,,
0.263,0.032463733,200.1067613,538.2087249,0.000727624,,,,,,,,
0.269,0.033079452,200.1030128,540.3782921,0.000754743,,,,,,,,
0.275,0.033681589,200.099347,542.4999973,0.000781264,,,,,,,,
0.282,0.034367694,200.09517,544.9175769,0.000811483,,,,,,,,
0.288,0.034942363,200.0916714,546.9424952,0.000836794,,,,,,,,
0.295,0.035597867,200.0876806,549.2522476,0.000865665,,,,,,,,
0.302,0.036237998,200.0837835,551.5078299,0.000893859,,,,,,,,
0.309,0.03686346,200.0799757,553.7117249,0.000921408,,,,,,,,
0.316,0.03747491,200.0762531,555.8662485,0.000948339,,,,,,,,
0.324,0.03815734,200.0720985,558.2708754,0.000978396,,,,,,,,
0.331,0.038740783,200.0685465,560.3267108,0.001004093,,,,,,,,
0.339,0.039392652,200.0645779,562.6236574,0.001032805,,,,,,,,
0.347,0.040029317,200.0607018,564.867026,0.001060846,,,,,,,,
0.355,0.040651469,200.0569142,567.0592592,0.001088249,,,,,,,,
0.363,0.041259756,200.0532109,569.2026363,0.00111504,,,,,,,,
0.372,0.041928257,200.049141,571.5581842,0.001144484,,,,,,,,
0.38,0.04250904,200.0456052,573.6046458,0.001170064,,,,,,,,
0.389,0.043147981,200.0417153,575.8560376,0.001198206,,,,,,,,
0.398,0.043772308,200.0379144,578.0559317,0.001225704,,,,,,,,
0.407,0.044382673,200.0341985,580.2066315,0.001252588,,,,,,,,
0.417,0.045045224,200.0301648,582.5412138,0.001281769,,,,,,,,
0.427,0.045692073,200.0262268,584.8204689,0.001310259,,,,,,,,
0.437,0.046323947,200.0223799,587.0469588,0.00133809,,,,,,,,
0.447,0.046941524,200.0186201,589.2230712,0.001365291,,,,,,,,
0.457,0.047545437,200.0149435,591.3510356,0.00139189,,,,,,,,
0.468,0.048194664,200.0109909,593.6386694,0.001420485,,,,,,,,
0.479,0.048828807,200.0071303,595.8731537,0.001448415,,,,,,,,
0.49,0.049448552,200.0033572,598.0569023,0.001475712,,,,,,,,
0.501,0.050073915,200,600,0.001501166,,,,,,,,
0.513,0.050949567,200,600,0.001514982,,,,,,,,
0.525,0.05180497,200,600,0.001528479,,,,,,,,
0.537,0.052641041,200,600,0.001541671,,,,,,,,
0.55,0.053525957,200,600,0.001555633,,,,,,,,
0.562,0.054324432,200,600,0.001568232,,,,,,,,
0.575,0.05517043,200,600,0.00158158,,,,,,,,
0.589,0.056060377,200,600,0.001595622,,,,,,,,
0.603,0.056929416,200,600,0.001609334,,,,,,,,
0.617,0.057778509,200,600,0.001622731,,,,,,,,
0.631,0.05860855,200,600,0.001635827,,,,,,,,
0.646,0.059477686,200,600,0.001649541,,,,,,,,
0.661,0.060326872,200,600,0.001662939,,,,,,,,
0.676,0.061157001,200,600,0.001676037,,,,,,,,
0.692,0.06202241,200,600,0.001689692,,,,,,,,
0.708,0.062868037,200,600,0.001703034,,,,,,,,
0.724,0.063694765,200,600,0.001716079,,,,,,,,
0.741,0.06455338,200,600,0.001729626,,,,,,,,
0.759,0.065207322,200,600,0.001751738,,,,,,,,
0.776,0.065592309,200,600,0.001779713,,,,,,,,
0.794,0.065990855,200,600,0.001808674,,,,,,,,
0.813,0.066401858,200,600,0.00183854,,,,,,,,
0.832,0.066803366,200,600,0.001867715,,,,,,,,
0.851,0.067195808,200,600,0.001896232,,,,,,,,
0.871,0.06759955,200,600,0.00192557,,,,,,,,
0.891,0.067994125,200,600,0.001954242,,,,,,,,
0.912,0.068399009,200,600,0.001983663,,,,,,,,
0.933,0.068794675,200,600,0.002012415,,,,,,,,
0.955,0.069199743,200,600,0.002041849,,,,,,,,
0.977,0.069595584,200,600,0.002070613,,,,,,,,
1,0.07,200,600,0.0021,,,,,,,,
1.023,0.071682474,200,605.6082475,0.002234598,,,,,,,,
1.047,0.073398241,200,611.3274684,0.002371859,,,,,,,,
1.072,0.075144171,200,617.1472369,0.002511534,,,,,,,,
1.096,0.076782373,200,622.6079104,0.00264259,,,,,,,,
1.122,0.078517093,200,628.3903115,0.002781367,,,,,,,,
1.148,0.080212072,200,634.0402405,0.002916966,,,,,,,,
1.175,0.081932086,200,639.7736191,0.003054567,,,,,,,,
1.202,0.083613021,200,645.3767371,0.003189042,,,,,,,,
1.23,0.085316793,200,651.0559763,0.003325343,,,,,,,,
1.259,0.087041004,200,656.8033477,0.00346328,,,,,,,,
1.288,0.088725949,200,662.4198291,0.003598076,,,,,,,,
1.318,0.090429534,200,668.0984456,0.003734363,,,,,,,,
1.349,0.092149643,200,673.8321427,0.003871971,,,,,,,,
1.38,0.093830669,200,679.4355649,0.004006454,,,,,,,,
1.413,0.095579151,200,685.2638357,0.004146332,,,,,,,,
1.445,0.097236079,200,690.7869294,0.004278886,,,,,,,,
1.479,0.098956833,200,696.5227774,0.004416547,,,,,,,,
1.514,0.10058127,200.3229276,700,0.004546645,,,,,,,,
1.549,0.102011249,201.1173603,700,0.004661395,,,,,,,,
1.585,0.103448763,201.9159796,700,0.00477675,,,,,,,,
1.622,0.104892579,202.7180994,700,0.004892611,,,,,,,,
1.66,0.106341531,203.523073,700,0.005008884,,,,,,,,
1.698,0.107757688,204.3098264,700,0.005122526,,,,,,,,
1.738,0.109214542,205.11919,700,0.005239433,,,,,,,,
1.778,0.110638246,205.9101364,700,0.00535368,,,,,,,,
1.82,0.112099068,206.7217047,700,0.005470905,,,,,,,,
1.862,0.113526562,207.5147564,700,0.005585456,,,,,,,,
1.905,0.114955065,208.3083697,700,0.005700088,,,,,,,,
1.95,0.116415888,209.1199379,700,0.005817314,,,,,,,,
1.995,0.117843381,209.9129897,700,0.005931865,,,,,,,,
2.042,0.119127633,209.4874395,700,0.005962658,,,,,,,,
2.089,0.120362331,208.9262133,700,0.005982613,,,,,,,,
2.138,0.121620336,208.3543928,700,0.006002945,,,,,,,,
2.188,0.122874638,207.7842556,700,0.006023218,,,,,,,,
2.239,0.124124836,207.2159835,700,0.006043423,,,,,,,,
2.291,0.125370565,206.6497432,700,0.006063557,,,,,,,,
2.344,0.126611486,206.0856881,700,0.006083613,,,,,,,,
2.399,0.127869914,205.5136755,700,0.006103952,,,,,,,,
2.455,0.129121921,204.9445815,700,0.006124187,,,,,,,,
2.512,0.130367292,204.3785035,700,0.006144315,,,,,,,,
2.57,0.131605836,203.815529,700,0.006164332,,,,,,,,
2.63,0.132858015,203.2463568,700,0.00618457,,,,,,,,
2.692,0.134122273,202.6716942,700,0.006205003,,,,,,,,
2.754,0.135357742,202.1101172,700,0.006224971,,,,,,,,
2.818,0.136604228,201.5435329,700,0.006245117,,,,,,,,
2.884,0.13786036,200.9725638,700,0.006265419,,,,,,,,
2.951,0.139106458,200.4061556,700,0.006285558,,,,,,,,
3.02,0.140026015,200.1333628,700.9647624,0.006280715,,,,,,,,
3.09,0.14011573,200.5932756,704.2918258,0.006214209,,,,,,,,
3.162,0.140205912,201.0555846,707.636224,0.006147357,,,,,,,,
3.236,0.140296484,201.519893,710.9950856,0.006080216,,,,,,,,
3.311,0.14038619,201.9797656,714.3218586,0.006013716,,,,,,,,
3.388,0.1404762,202.4411889,717.6598493,0.005946992,,,,,,,,
3.467,0.140566445,202.9038239,721.0066058,0.005880093,,,,,,,,
3.548,0.140656865,203.3673522,724.3598247,0.005813064,,,,,,,,
3.631,0.140747401,203.8314753,727.7173457,0.00574595,,,,,,,,
3.715,0.140836945,204.2905115,731.0380679,0.005679571,,,,,,,,
3.802,0.140927577,204.755127,734.3991517,0.005612385,,,,,,,,
3.89,0.141017165,205.2143906,737.7215187,0.005545973,,,,,,,,
3.981,0.1411077,205.6785108,741.0790192,0.005478859,,,,,,,,
4.074,0.141198112,206.1419965,744.4319296,0.005411837,,,,,,,,
4.169,0.141288361,206.6046514,747.77883,0.005344935,,,,,,,,
4.266,0.141378413,207.0662935,751.1184038,0.005278179,,,,,,,,
4.365,0.141468234,207.5267544,754.4494325,0.005211594,,,,,,,,
4.467,0.141558672,207.9903722,757.8032983,0.005144553,,,,,,,,
4.571,0.141648781,208.4523061,761.1449826,0.005077755,,,,,,,,
4.677,0.141738537,208.912432,764.473588,0.005011218,,,,,,,,
4.786,0.141828736,209.3748306,767.8186342,0.004944353,,,,,,,,
4.898,0.141919303,209.839113,771.1773083,0.004877216,,,,,,,,
5.012,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
5.129,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
5.248,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
5.37,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
5.495,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
5.623,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
5.754,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
5.888,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
6.026,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
6.166,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
6.31,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
6.457,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
6.607,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
6.761,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
6.918,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
7.079,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
7.244,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
7.413,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
7.586,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
7.762,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
7.943,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
8.128,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
8.318,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
8.511,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
8.71,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
8.913,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
9.12,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
9.333,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
9.55,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
9.772,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
10,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
10.233,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
10.471,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
10.715,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
10.965,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
11.22,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
11.482,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
11.749,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
12.023,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
12.303,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
12.589,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
12.882,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
13.183,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
13.49,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
13.804,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
14.125,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
14.454,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
14.791,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
15.136,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
15.488,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
15.849,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
16.218,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
16.596,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
16.982,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
17.378,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
17.783,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
18.197,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
18.621,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
19.055,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
19.498,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
19.953,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
20.417,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
20.893,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
21.38,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
21.878,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
22.387,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
22.909,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
23.442,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
23.988,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
24.547,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
25.119,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
25.704,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
26.303,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
26.915,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
27.542,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
28.184,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
28.84,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
29.512,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
30.2,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
30.903,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
31.623,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
32.359,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
33.113,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
33.884,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
34.674,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
35.481,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
36.308,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
37.154,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
38.019,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
38.905,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
39.811,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
40.738,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
41.687,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
42.658,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
43.652,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
44.668,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
45.709,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
46.773,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
47.863,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
48.978,0.142,210.2527961,774.1699405,0.004817395,,,,,,,,
