Frequency,f3,f4,f5,Vf,Vg,
0.047,0.0452,0.000407,-0.023413,687.224,702.374,
0.048,0.0452,0.000405,-0.023413,687.224,702.374,
0.049,0.0452,0.000402,-0.023413,687.224,702.374,
0.05,0.0452,0.000402,-0.023413,687.224,702.374,
0.051,0.0452,0.000419,-0.023413,687.224,702.374,
0.052,0.0452,0.000437,-0.023413,687.224,702.374,
0.054,0.0452,0.000455,-0.023413,687.224,702.374,
0.055,0.0452,0.000472,-0.023413,687.224,702.374,
0.056,0.0452,0.00049,-0.023413,687.224,702.374,
0.058,0.0452,0.000508,-0.023413,687.224,702.374,
0.059,0.0452,0.000525,-0.023413,687.224,702.374,
0.06,0.0452,0.000543,-0.023413,687.224,702.374,
0.062,0.0452,0.00056,-0.023413,687.224,702.374,
0.063,0.0452,0.000578,-0.023413,687.224,702.374,
0.065,0.0452,0.000596,-0.023413,687.224,702.374,
0.066,0.0452,0.000613,-0.023413,687.224,702.374,
0.068,0.0452,0.000631,-0.023413,687.224,702.374,
0.069,0.0452,0.000648,-0.023413,687.224,702.374,
0.071,0.0452,0.000666,-0.023413,687.224,702.374,
0.072,0.0452,0.000684,-0.023413,687.224,702.374,
0.074,0.0452,0.000702,-0.023413,687.224,702.374,
0.076,0.0452,0.000725,-0.023413,687.224,702.374,
0.078,0.0452,0.000748,-0.023413,687.224,702.374,
0.079,0.0452,0.000771,-0.023413,687.224,702.374,
0.081,0.0452,0.000794,-0.023413,687.224,702.374,
0.083,0.0452,0.000816,-0.023413,687.224,702.374,
0.085,0.0452,0.000839,-0.023413,687.224,702.374,
0.087,0.0452,0.000862,-0.023413,687.224,702.374,
0.089,0.0452,0.000885,-0.023413,687.224,702.374,
0.091,0.0452,0.000908,-0.023413,687.224,702.374,
0.093,0.0452,0.000931,-0.023413,687.224,702.374,
0.095,0.0452,0.000954,-0.023413,687.224,702.374,
0.098,0.0452,0.000977,-0.023413,687.224,702.374,
0.1,0.0452,0.001,-0.023413,687.224,702.374,
0.102,0.045193,0.001,-0.023413,687.224,702.374,
0.105,0.045185,0.001,-0.023413,687.224,702.374,
0.107,0.045178,0.001,-0.023413,687.224,702.374,
0.11,0.045171,0.001,-0.023413,687.224,702.374,
0.112,0.045163,0.001,-0.023413,687.224,702.374,
0.115,0.045156,0.001,-0.023413,687.224,702.374,
0.117,0.045149,0.001,-0.023413,687.224,702.374,
0.12,0.045141,0.001,-0.023413,687.224,702.374,
0.123,0.045134,0.001,-0.023413,687.224,702.374,
0.126,0.045127,0.001,-0.023413,687.224,702.374,
0.129,0.045119,0.001,-0.023413,687.224,702.374,
0.132,0.045112,0.001,-0.023413,687.224,702.374,
0.135,0.045104,0.001,-0.023413,687.224,702.374,
0.138,0.045097,0.001,-0.023413,687.224,702.374,
0.141,0.04509,0.001,-0.023413,687.224,702.374,
0.145,0.045082,0.001,-0.023413,687.224,702.374,
0.148,0.045075,0.001,-0.023413,687.224,702.374,
0.151,0.045068,0.001005,-0.023413,687.224,702.374,
0.155,0.04506,0.001054,-0.023413,687.224,702.374,
0.158,0.045053,0.001103,-0.023413,687.224,702.374,
0.162,0.045045,0.001153,-0.023413,687.224,702.374,
0.166,0.045038,0.001202,-0.023413,687.224,702.374,
0.17,0.04503,0.001251,-0.023413,687.224,702.374,
0.174,0.045022,0.0013,-0.023413,687.224,702.374,
0.178,0.045015,0.001349,-0.023413,687.224,702.374,
0.182,0.045007,0.001398,-0.023413,687.224,702.374,
0.186,0.045,0.001447,-0.023413,687.224,702.374,
0.191,0.044992,0.001497,-0.023413,687.224,702.374,
0.195,0.044985,0.001546,-0.023413,687.224,702.374,
0.2,0.044977,0.001595,-0.023413,687.224,702.374,
0.204,0.04497,0.001538,-0.023413,687.224,702.374,
0.209,0.044962,0.001468,-0.023413,687.224,702.374,
0.214,0.044954,0.001399,-0.023413,687.224,702.374,
0.219,0.044946,0.00133,-0.023413,687.224,702.374,
0.224,0.044939,0.00126,-0.023413,687.224,702.374,
0.229,0.044931,0.001191,-0.023413,687.224,702.374,
0.234,0.044923,0.001121,-0.023413,687.224,702.374,
0.24,0.044915,0.001052,-0.023413,687.224,702.374,
0.245,0.044907,0.000983,-0.023413,687.224,702.374,
0.251,0.0449,0.000916,-0.023413,687.224,702.365,
0.257,0.0449,0.000941,-0.023413,687.224,702.102,
0.263,0.0449,0.000967,-0.023413,687.224,701.839,
0.269,0.0449,0.000992,-0.023413,687.224,701.576,
0.275,0.0449,0.001017,-0.023413,687.224,701.314,
0.282,0.0449,0.001042,-0.023413,687.224,701.051,
0.288,0.0449,0.001067,-0.023413,687.224,700.788,
0.295,0.0449,0.001092,-0.023413,687.224,700.525,
0.302,0.0449,0.001117,-0.023413,687.224,700.262,
0.309,0.0449,0.001143,-0.023413,687.194,699.948,
0.316,0.0449,0.001155,-0.023379,679.903,687.41,
0.324,0.0449,0.001167,-0.023344,672.612,674.872,
0.331,0.0449,0.001179,-0.02331,665.321,662.334,
0.339,0.0449,0.001191,-0.023276,658.031,649.796,
0.347,0.0449,0.001203,-0.023241,650.74,637.258,
0.355,0.0449,0.001216,-0.023207,643.449,624.72,
0.363,0.0449,0.001228,-0.023173,636.158,612.182,
0.372,0.0449,0.00124,-0.023139,628.867,599.644,
0.38,0.0449,0.001252,-0.023104,621.577,587.106,
0.389,0.0449,0.001264,-0.02307,614.286,574.568,
0.398,0.0449,0.001276,-0.023036,606.995,562.03,
0.407,0.0449,0.001287,-0.022998,600.259,549.167,
0.417,0.0449,0.001253,-0.022887,606.642,528.621,
0.427,0.0449,0.001219,-0.022775,613.024,508.075,
0.437,0.0449,0.001186,-0.022664,619.407,487.529,
0.447,0.0449,0.001152,-0.022552,625.789,466.984,
0.457,0.0449,0.001118,-0.02244,632.172,446.438,
0.468,0.0449,0.001084,-0.022329,638.555,425.892,
0.479,0.0449,0.001051,-0.022217,644.937,405.346,
0.49,0.0449,0.001017,-0.022106,651.32,384.801,
0.501,0.044901,0.000985,-0.021992,657.18,364.619,
0.513,0.044917,0.001049,-0.021745,631.385,366.534,
0.525,0.044934,0.001113,-0.021498,605.59,368.449,
0.537,0.04495,0.001177,-0.021251,579.795,370.364,
0.55,0.044966,0.001241,-0.021004,553.999,372.279,
0.562,0.044983,0.001306,-0.020757,528.204,374.194,
0.575,0.044999,0.00137,-0.02051,502.409,376.109,
0.589,0.045015,0.001434,-0.020263,476.614,378.024,
0.603,0.045032,0.001498,-0.020016,450.819,379.939,
0.617,0.045048,0.000386,-0.019716,430.62,375.155,
0.631,0.045065,-0.000765,-0.019415,410.605,370.151,
0.646,0.045082,-0.001916,-0.019114,390.59,365.147,
0.661,0.045099,-0.003067,-0.018813,370.575,360.144,
0.676,0.045115,-0.004218,-0.018512,350.559,355.14,
0.692,0.045132,-0.005369,-0.018211,330.544,350.136,
0.708,0.045149,-0.00652,-0.01791,310.529,345.132,
0.724,0.045165,-0.00767,-0.017609,290.514,340.129,
0.741,0.045182,-0.008821,-0.017308,270.499,335.125,
0.759,0.045199,-0.009972,-0.017007,250.484,330.121,
0.776,0.045176,-0.011994,-0.016678,254.851,317.187,
0.794,0.045153,-0.014038,-0.016348,259.821,304.057,
0.813,0.045127,-0.015394,-0.016036,261.462,300,
0.832,0.045101,-0.016441,-0.015733,261.614,300,
0.851,0.045074,-0.017489,-0.01543,261.766,300,
0.871,0.045048,-0.018537,-0.015127,261.918,300,
0.891,0.045021,-0.019585,-0.014824,262.07,300,
0.912,0.045049,-0.021536,-0.014482,261.4,302.793,
0.933,0.045116,-0.024152,-0.014112,260.125,307.645,
0.955,0.045183,-0.026768,-0.013741,258.85,312.497,
0.977,0.04525,-0.029384,-0.013371,257.575,317.348,
1,0.045317,-0.032,-0.013,256.3,322.2,
1.023,0.045831,-0.034042,-0.01276,259.07,325.579,
1.047,0.046344,-0.036084,-0.012521,261.84,328.958,
1.072,0.046857,-0.038126,-0.012281,264.609,332.338,
1.096,0.047371,-0.040168,-0.012041,267.379,335.717,
1.122,0.047884,-0.042211,-0.011802,270.149,339.096,
1.148,0.048398,-0.044253,-0.011562,272.919,342.475,
1.175,0.048911,-0.046295,-0.011322,275.688,345.854,
1.202,0.049425,-0.048337,-0.011083,278.458,349.234,
1.23,0.049938,-0.050379,-0.010843,281.228,352.613,
1.259,0.050451,-0.052421,-0.010603,283.998,355.992,
1.288,0.050975,-0.056155,-0.010403,281.277,345.901,
1.318,0.051498,-0.059892,-0.010203,278.542,335.775,
1.349,0.052022,-0.06363,-0.010003,275.807,325.649,
1.38,0.052545,-0.067368,-0.009803,273.072,315.523,
1.413,0.053069,-0.071106,-0.009603,270.337,305.397,
1.445,0.053592,-0.074844,-0.009403,267.602,295.27,
1.479,0.054115,-0.078581,-0.009203,264.867,285.145,
1.514,0.054639,-0.082319,-0.009003,262.131,275.019,
1.549,0.055116,-0.086211,-0.008906,266.613,275.615,
1.585,0.055593,-0.090105,-0.00881,271.187,276.347,
1.622,0.05607,-0.093998,-0.008714,275.761,277.08,
1.66,0.056547,-0.097892,-0.008618,280.335,277.813,
1.698,0.057024,-0.101786,-0.008523,284.909,278.546,
1.738,0.057501,-0.105679,-0.008427,289.483,279.279,
1.778,0.057978,-0.109573,-0.008331,294.057,280.011,
1.82,0.058455,-0.113467,-0.008236,298.631,280.744,
1.862,0.058932,-0.11736,-0.00814,303.205,281.477,
1.905,0.059409,-0.121254,-0.008044,307.779,282.21,
1.95,0.059886,-0.125147,-0.007949,312.353,282.942,
1.995,0.060363,-0.129041,-0.007853,316.927,283.675,
2.042,0.060558,-0.131885,-0.007821,318.04,279.485,
2.089,0.060721,-0.134609,-0.007795,318.755,274.728,
2.138,0.060883,-0.137333,-0.00777,319.471,269.972,
2.188,0.061046,-0.140056,-0.007745,320.187,265.216,
2.239,0.061209,-0.14278,-0.00772,320.902,260.46,
2.291,0.061371,-0.145504,-0.007695,321.618,255.704,
2.344,0.061534,-0.148228,-0.00767,322.334,250.948,
2.399,0.061697,-0.150951,-0.007644,323.049,246.192,
2.455,0.061859,-0.153675,-0.007619,323.765,241.436,
2.512,0.062022,-0.156399,-0.007594,324.481,236.68,
2.57,0.062185,-0.159122,-0.007569,325.196,231.924,
2.63,0.062347,-0.161846,-0.007544,325.912,227.167,
2.692,0.06251,-0.16457,-0.007519,326.628,222.411,
2.754,0.062673,-0.167293,-0.007493,327.343,217.655,
2.818,0.062835,-0.170017,-0.007468,328.059,212.899,
2.884,0.062998,-0.172741,-0.007443,328.775,208.143,
2.951,0.063161,-0.175465,-0.007418,329.49,203.387,
3.02,0.063542,-0.180229,-0.007395,329.309,200,
3.09,0.064465,-0.190041,-0.007379,326.908,200,
3.162,0.065387,-0.199854,-0.007363,324.506,200,
3.236,0.06631,-0.209666,-0.007347,322.105,200,
3.311,0.067232,-0.219479,-0.007331,319.704,200,
3.388,0.068155,-0.229291,-0.007315,317.303,200,
3.467,0.069077,-0.239104,-0.007299,314.902,200,
3.548,0.07,-0.248916,-0.007283,312.501,200,
3.631,0.070922,-0.258729,-0.007267,310.099,200,
3.715,0.071845,-0.268541,-0.007251,307.698,200,
3.802,0.072767,-0.278354,-0.007235,305.297,200,
3.89,0.07369,-0.288166,-0.007219,302.896,200,
3.981,0.074612,-0.297979,-0.007203,300.495,200,
4.074,0.075893,-0.30993,-0.007137,296.118,200,
4.169,0.077267,-0.322436,-0.007057,291.23,200,
4.266,0.07864,-0.334941,-0.006978,286.341,200,
4.365,0.080014,-0.347447,-0.006898,281.452,200,
4.467,0.081388,-0.359953,-0.006818,276.564,200,
4.571,0.082761,-0.372459,-0.006739,271.675,200,
4.677,0.084135,-0.384965,-0.006659,266.787,200,
4.786,0.085509,-0.397471,-0.00658,261.898,200,
4.898,0.086882,-0.409976,-0.0065,257.009,200,
5.012,0.08823,-0.474927,-0.0066,300.495,200,
5.129,0.089343,-0.501648,-0.006607,300.495,200,
5.248,0.090456,-0.528325,-0.006614,300.495,200,
5.37,0.091569,-0.555003,-0.006621,300.495,200,
5.495,0.092681,-0.58168,-0.006627,300.495,200,
5.623,0.093794,-0.608357,-0.006634,300.495,200,
5.754,0.094907,-0.635035,-0.006641,300.495,200,
5.888,0.096019,-0.661712,-0.006648,300.495,200,
6.026,0.097132,-0.688389,-0.006655,300.495,200,
6.166,0.097841,-0.71187,-0.006528,300.495,200,
6.31,0.098548,-0.735342,-0.0064,300.495,200,
6.457,0.099256,-0.758814,-0.006273,300.495,200,
6.607,0.099964,-0.782285,-0.006145,300.495,200,
6.761,0.100671,-0.805757,-0.006018,300.495,200,
6.918,0.101379,-0.829229,-0.00589,300.495,200,
7.079,0.102085,-0.852655,-0.005763,300.495,200,
7.244,0.102257,-0.860068,-0.005751,300.495,200,
7.413,0.10243,-0.867481,-0.005739,300.495,200,
7.586,0.102602,-0.874894,-0.005727,300.495,200,
7.762,0.102775,-0.882307,-0.005714,300.495,200,
7.943,0.102947,-0.889746,-0.005702,300.495,200,
8.128,0.103202628,-0.909290965,-0.005620777,300.495,200,
8.318,0.103495868,-0.934314099,-0.005508162,300.495,200,
8.511,0.103789109,-0.959337323,-0.005395547,300.495,200,
8.71,0.10408235,-0.984360566,-0.005282932,300.495,200,
8.913,0.104375589,-1.009383592,-0.005170317,300.495,200,
9.12,0.104551626,-1.034455392,-0.005024024,300.495,200,
9.333,0.104641295,-1.059562719,-0.004852916,300.495,200,
9.55,0.104730964,-1.084670022,-0.004681807,300.495,200,
9.772,0.104820635,-1.109777742,-0.004510696,300.495,200,
10,0.104910304,-1.134885138,-0.004339587,300.495,200,
10.233,0.104999973,-1.159992541,-0.004168478,300.495,200,
10.471,0.105,-1.16,-0.004137237,300.495,200,
10.715,0.105,-1.16,-0.004106037,300.495,200,
10.965,0.105,-1.16,-0.004074838,300.495,200,
11.22,0.105,-1.16,-0.004043639,300.495,200,
11.482,0.105,-1.16,-0.004012439,300.495,200,
11.749,0.105,-1.16,-0.00398124,300.495,200,
12.023,0.105,-1.16,-0.00395004,300.495,200,
12.303,0.105,-1.16,-0.00395,300.495,200,
12.589,0.105,-1.16,-0.00395,300.495,200,
12.882,0.105,-1.16,-0.00395,300.495,200,
13.183,0.105,-1.16,-0.00395,300.495,200,
13.49,0.105,-1.16,-0.00395,300.495,200,
13.804,0.105,-1.16,-0.00395,300.495,200,
14.125,0.105,-1.16,-0.00395,300.495,200,
14.454,0.105,-1.16,-0.00395,300.495,200,
14.791,0.105,-1.16,-0.00395,300.495,200,
15.136,0.105,-1.16,-0.00395,300.495,200,
15.488,0.105,-1.16,-0.00395,300.495,200,
15.849,0.105,-1.16,-0.00395,300.495,200,
16.218,0.105,-1.16,-0.00395,300.495,200,
16.596,0.105,-1.16,-0.00395,300.495,200,
16.982,0.105,-1.16,-0.00395,300.495,200,
17.378,0.105,-1.16,-0.00395,300.495,200,
17.783,0.105,-1.16,-0.00395,300.495,200,
18.197,0.105,-1.16,-0.00395,300.495,200,
18.621,0.105,-1.16,-0.00395,300.495,200,
19.055,0.105,-1.16,-0.00395,300.495,200,
19.498,0.105,-1.16,-0.00395,300.495,200,
19.953,0.105,-1.16,-0.00395,300.495,200,
20.417,0.105,-1.16,-0.00395,300.495,200,
20.893,0.105,-1.16,-0.00395,300.495,200,
21.38,0.105,-1.16,-0.00395,300.495,200,
21.878,0.105,-1.16,-0.00395,300.495,200,
22.387,0.105,-1.16,-0.00395,300.495,200,
22.909,0.105,-1.16,-0.00395,300.495,200,
23.442,0.105,-1.16,-0.00395,300.495,200,
23.988,0.105,-1.16,-0.00395,300.495,200,
24.547,0.105,-1.16,-0.00395,300.495,200,
25.119,0.105,-1.16,-0.00395,300.495,200,
25.704,0.105,-1.16,-0.00395,300.495,200,
26.303,0.105,-1.16,-0.00395,300.495,200,
26.915,0.105,-1.16,-0.00395,300.495,200,
27.542,0.105,-1.16,-0.00395,300.495,200,
28.184,0.105,-1.16,-0.00395,300.495,200,
28.84,0.105,-1.16,-0.00395,300.495,200,
29.512,0.105,-1.16,-0.00395,300.495,200,
30.2,0.105,-1.16,-0.00395,300.495,200,
30.903,0.105,-1.16,-0.00395,300.495,200,
31.623,0.105,-1.16,-0.00395,300.495,200,
32.359,0.105,-1.16,-0.00395,300.495,200,
33.113,0.105,-1.16,-0.00395,300.495,200,
33.884,0.105,-1.16,-0.00395,300.495,200,
34.674,0.105,-1.16,-0.00395,300.495,200,
35.481,0.105,-1.16,-0.00395,300.495,200,
36.308,0.105,-1.16,-0.00395,300.495,200,
37.154,0.105,-1.16,-0.00395,300.495,200,
38.019,0.105,-1.16,-0.00395,300.495,200,
38.905,0.105,-1.16,-0.00395,300.495,200,
39.811,0.105,-1.16,-0.00395,300.495,200,
40.738,0.105,-1.16,-0.00395,300.495,200,
41.687,0.105,-1.16,-0.00395,300.495,200,
42.658,0.105,-1.16,-0.00395,300.495,200,
43.652,0.105,-1.16,-0.00395,300.495,200,
44.668,0.105,-1.16,-0.00395,300.495,200,
45.709,0.105,-1.16,-0.00395,300.495,200,
46.773,0.105,-1.16,-0.00395,300.495,200,
47.863,0.105,-1.16,-0.00395,300.495,200,
48.978,0.105,-1.16,-0.00395,300.495,200,
